artist_name,track_name,track_id,album_name,album_id,release_date,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,featured_artists,release_month,release_year
Ed Sheeran,Perfect - Mike Perry Remix,5AJgjETGRZMlONKiKzYCUy,Perfect (Mike Perry Remix),3ZQ5TYGh6ei3IDnQ3GscGh,2017-11-10,37,False,0.732,0.756,5,-4.309,0,0.0324,0.26,0.0,0.13,0.343,113.98,3,['Mike Perry'],November,2017
Ed Sheeran,Little Lady (feat. Mikill Pane),5rKb6l02IplvF9I0sJI9Lj,No.5 Collaborations Project,6DpIyaMgt5p9HlGd1c0LDM,2011-09-09,38,False,0.437,0.5,9,-7.103,1,0.105,0.731,0.0,0.157,0.437,85.293,4,['Mikill Pane'],September,2011
Ed Sheeran,Put It All on Me (feat. Ella Mai),2xOjYQuhFCeqxdUsf74gSp,Put It All on Me (feat. Ella Mai),4es0SCGoooYKR36713JWNz,2019-07-11,30,False,0.627,0.594,7,-8.306,1,0.0478,0.253,0.0,0.373,0.389,101.008,4,['Ella Mai'],July,2019
Ed Sheeran,Nothing On You (feat. Paulo Londra & Dave),3uPt20NZVz4AOhFPUzzEv6,No.6 Collaborations Project,5oUZ9TEZR3wOdvqzowuNwl,2019-07-12,36,False,0.747,0.649,10,-6.218,0,0.219,0.333,0.0,0.172,0.84,88.011,4,"['Paulo Londra', 'Dave']",July,2019
Ed Sheeran,Sofa,5VAd82Nigp6Qdbl2zln1cl,Loose Change,3QbPtoOWiJqZurXXxJwaOD,2011-12-09,34,False,0.646,0.65,2,-6.491,1,0.0278,0.14,9.65e-06,0.0999,0.52,100.05,4,[],December,2011
Ed Sheeran,2step (feat. Ellinoora),7nPp9jinMqAmiAnNfYzY7c,2step (The Remixes),0a28QsFN8zbrWSvbSQ40PI,2021-10-29,42,False,0.705,0.741,4,-4.33,0,0.0683,0.167,0.0,0.216,0.615,94.962,4,['Ellinoora'],October,2021
Ed Sheeran,I Don't Want Your Money (feat. H.E.R.),5hNGxdPZJ4tLLkbIHHVYJp,No.6 Collaborations Project,5oUZ9TEZR3wOdvqzowuNwl,2019-07-12,32,False,0.469,0.631,8,-6.569,0,0.0853,0.314,0.0,0.14,0.763,91.418,4,['H.E.R.'],July,2019
Ed Sheeran,"Take Me Back To London (Sir Spyro Remix) [feat. Stormzy, Jaykae & Aitch]",4iYxrnTvYsTtyphOTqTvkh,"Take Me Back To London (Remix) [feat. Stormzy, Jaykae & Aitch]",71znMnnyOF4NIe4UpTYbw7,2019-08-23,43,True,0.787,0.842,10,-4.026,0,0.25,0.117,0.0,0.179,0.657,138.159,4,"['Jaykae', 'Aitch', 'Stormzy', 'Sir Spyro']",August,2019
Ed Sheeran,2step (feat. Antytila),5it0QwktdpQ7oE33PbImkX,2step (feat. Antytila),0cNLR4ksEAAesnSOVzV33s,2022-05-02,42,False,0.506,0.695,4,-5.185,0,0.105,0.235,0.0,0.151,0.599,93.75,4,['Antytila'],May,2022
Ed Sheeran,2step (feat. Leto),0rGZhcaioQRufndluiOxdF,2step (feat. Leto),5gtzH1xaYI0w2KWITZaZUH,2022-05-13,37,False,0.73,0.701,7,-5.318,1,0.0447,0.273,0.0,0.0657,0.522,94.97,4,['Leto'],May,2022
Ed Sheeran,2step (feat. Leto),0Ooo1Wnehm31UPovrjLRWW,2step (The Remixes),0a28QsFN8zbrWSvbSQ40PI,2021-10-29,38,False,0.73,0.701,7,-5.318,1,0.0447,0.273,0.0,0.0657,0.522,94.97,4,['Leto'],October,2021
Ed Sheeran,Cold Coffee,0Qhut5Vj2My3pVxjHdwAAX,Songs I Wrote With Amy,40TWM0OpD4tS3AoWLnUxIC,2011-12-09,37,False,0.544,0.529,6,-6.753,1,0.0256,0.453,0.0,0.131,0.403,92.936,4,[],December,2011
Ed Sheeran,1000 Nights (feat. Meek Mill & A Boogie Wit da Hoodie),6n1j8k7ApN8ZkjG2Yczyei,No.6 Collaborations Project,5oUZ9TEZR3wOdvqzowuNwl,2019-07-12,31,False,0.778,0.59,8,-5.548,1,0.27,0.467,0.0,0.0902,0.515,97.995,4,"['Meek Mill', 'A Boogie Wit da Hoodie']",July,2019
Ed Sheeran,Overpass Graffiti - Alle Farben Remix,7akVlCmVcBAjod87dKRUbA,Overpass Graffiti (Alle Farben Remix),4WUMErHkS43wP3JwWNB6jQ,2021-10-28,39,False,0.663,0.812,0,-4.849,1,0.133,0.0217,4.46e-06,0.289,0.652,129.986,4,['Alle Farben'],October,2021
Ed Sheeran,Feels (feat. Young Thug & J Hus),4qhw4uLzaW0TjgGvTxJ2Pu,No.6 Collaborations Project,5oUZ9TEZR3wOdvqzowuNwl,2019-07-12,31,False,0.665,0.68,2,-4.899,1,0.29,0.112,0.0,0.096,0.69,91.67,4,"['Young Thug', 'J Hus']",July,2019
Ed Sheeran,London Bridge,4zWxuASYcr7KhvNGMjvlDT,The Slumdon Bridge,3j70EKOaR5iVk0BPW6lowR,2011-09-09,22,False,0.695,0.388,0,-15.157,0,0.315,0.393,0.000857,0.0591,0.319,93.041,4,['Yelawolf'],September,2011
Ed Sheeran,Bad Habits,0c8CFwGepk9hmc4cuRPmXJ,Bad Habits (MEDUZA Remix),6KMHosj3h5fkGwPoTK9gvB,2021-07-30,32,False,0.807,0.893,11,-3.745,0,0.0347,0.0451,2.79e-05,0.366,0.537,126.011,4,[],July,2021
Ed Sheeran,2step (feat. Lil Baby),3gL6cSxG2YXajO5Mbxijbk,2step (feat. Ultimo),3TDdlYSrE5WuOTiuyr9tTl,2022-05-06,31,False,0.693,0.643,4,-5.867,0,0.0828,0.138,0.0,0.108,0.477,95.055,4,['Lil Baby'],May,2022
Ed Sheeran,Bad Habits - SHAUN Remix,1ojXznve83pqLCTdy3945M,Bad Habits (The Remixes),1cvxALyvpgUpRqxix4vhLK,2021-08-06,29,False,0.798,0.665,7,-4.674,1,0.0437,0.021,0.0029,0.0776,0.645,135.088,4,['SHAUN'],August,2021
Ed Sheeran,Shivers,1LyqItlFWcwvMaF0yiApXJ,Shivers (Alok Remix),6cgj2takjXRiUbUcjvbVZO,2021-10-11,32,False,0.788,0.859,2,-2.724,1,0.0856,0.281,0.0,0.0424,0.822,141.02,4,[],October,2021
Ed Sheeran,2step (feat. 1.Cuz),3Clcn0JjqakucsAAAMV646,2step (The Remixes),0a28QsFN8zbrWSvbSQ40PI,2021-10-29,47,False,0.674,0.663,7,-5.084,1,0.084,0.157,0.0,0.13,0.617,94.818,4,['1.Cuz'],October,2021
Ed Sheeran,Way To Break My Heart (feat. Skrillex),3QILjG9RQzZBtfSd54zzaj,Way To Break My Heart (feat. Skrillex),1e0B33rcH0vHHumZofYV3y,2019-07-11,30,False,0.726,0.731,1,-6.304,0,0.159,0.11,3.21e-06,0.0928,0.43,170.125,4,['Skrillex'],July,2019
Ed Sheeran,2step (feat. Chefin),2t0iRmBWsSwPIv7OY8ypiZ,2step (The Remixes),0a28QsFN8zbrWSvbSQ40PI,2021-10-29,44,False,0.731,0.642,4,-5.106,0,0.0695,0.209,0.0,0.242,0.504,94.961,4,['Chefin'],October,2021
