artist_name,track_name,track_id,album_name,album_id,release_date,duration_ms,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,featured_artists,duration,release_day,release_month,release_year
Ed Sheeran,Thinking out Loud (Arr. for Guitar),58iCAn7pxwEg3Tlkt3X0L0,Guitar Covers of Pop Hits,7lZSM2AaD9k4kFiDI5eP0S,2020-04-12,0 days 00:03:57.600000,29,False,0.719,0.23,D,-10.74,Major,0.0513,0.671,0.675,0.111,0.319,74.947,4,"Amy Wadge, Arlo Vega",03:57,Sunday,April,2020
Ed Sheeran,You Don't Know - For Fucks Sake,5wDo8f5JkiLu98wa38chVT,The Slumdon Bridge,3j70EKOaR5iVk0BPW6lowR,2011-09-09,0 days 00:03:33.600000,20,True,0.835,0.532,G,-8.891,Major,0.292,0.329,2.32e-05,0.364,0.562,99.995,4,Yelawolf,03:33,Friday,September,2011
Ed Sheeran,Cross Me (feat. Chance the Rapper & PnB Rock) - M-22 Remix,3eFJI470ALf1EYjywPRsJy,Cross Me (feat. Chance the Rapper & PnB Rock) [M-22 Remix],49bXZtlI5kQSqQMSCnSaWO,2019-06-21,0 days 00:03:27.894000,28,True,0.679,0.923,F#/Gb,-6.5,Major,0.181,0.146,4.92e-06,0.124,0.752,121.984,4,"Chance the Rapper, PnB Rock, M-22",03:27,Friday,June,2019
Ed Sheeran,Lego House - Spotify Sessions,1u3FMEh3u14smbxY1XZc4S,Spotify Session,3Zao4egmTSVP5LfAhHO4o1,2011-01-01,0 days 00:03:41.010000,29,False,0.55,0.196,B,-16.253,Major,0.355,0.766,0.0,0.191,0.492,162.481,4,,03:41,Saturday,January,2011
Ed Sheeran,Bloodstream - Arty Remix,7hsXDbHfhcm9hDpK7DJyhi,Bloodstream (Arty Remix),2WFfiru9h8SlaO5VpiYEP5,2015-03-27,0 days 00:06:35.468000,22,False,0.601,0.609,D#/Eb,-7.64,Minor,0.0343,0.428,1.09e-05,0.092,0.392,127.987,4,"Rudimental, ARTY",06:35,Friday,March,2015
Ed Sheeran,Lately (feat. Devlin),1iyJwocwqUMwLgmu9O5Y13,No.5 Collaborations Project,6DpIyaMgt5p9HlGd1c0LDM,2011-09-09,0 days 00:04:31.333000,33,False,0.718,0.82,E,-5.552,Minor,0.103,0.0928,0.0,0.391,0.329,90.013,4,Devlin,04:31,Friday,September,2011
Ed Sheeran,"Hands of Gold (From ""Game of Thrones"")",1jrDr3VeNXdljqNfRbYtcP,Fantasymphony,4SXuGe9DNKF1ngufm4vRh6,2020-04-24,0 days 00:02:34.054000,29,False,0.347,0.377,D,-15.693,Major,0.0381,0.798,0.000745,0.0859,0.534,133.497,4,"Danish National Symphony Orchestra, Christian Schumann",02:34,Friday,April,2020
Ed Sheeran,Radio (feat. JME),5KB7EYQuHd0S5WKVWpagYu,No.5 Collaborations Project,6DpIyaMgt5p9HlGd1c0LDM,2011-09-09,0 days 00:03:42.653000,33,False,0.693,0.833,F#/Gb,-5.408,Minor,0.263,0.214,0.0,0.117,0.759,99.901,4,Jme,03:42,Friday,September,2011
Ed Sheeran,Outro,5L4bpwdJjJSx7soizxQ8bw,The Slumdon Bridge,3j70EKOaR5iVk0BPW6lowR,2011-09-09,0 days 00:02:16.216000,17,True,0.669,0.765,D,-10.181,Major,0.387,0.137,0.0,0.0697,0.581,65.657,4,Yelawolf,02:16,Friday,September,2011
Ed Sheeran,The A Team - Spotify Sessions,6D9w7wnOtoViu0yX6lmCsy,Spotify Session,3Zao4egmTSVP5LfAhHO4o1,2011-01-01,0 days 00:03:48.784000,29,False,0.554,0.255,A,-14.852,Major,0.328,0.535,0.0,0.234,0.531,86.053,4,,03:48,Saturday,January,2011
Ed Sheeran,You (feat. Wiley),7h7KBBdYIzrxOsLfR9aUO7,No.5 Collaborations Project,6DpIyaMgt5p9HlGd1c0LDM,2011-09-09,0 days 00:03:21.587000,31,False,0.799,0.532,C#/Db,-9.472,Minor,0.0707,0.386,0.00017,0.0978,0.189,100.032,4,Wiley,03:21,Friday,September,2011
Ed Sheeran,Family (feat. P Money),79d2OA4Sj4nfw0vk8EV82D,No.5 Collaborations Project,6DpIyaMgt5p9HlGd1c0LDM,2011-09-09,0 days 00:04:14.907000,31,False,0.476,0.704,A,-5.411,Minor,0.278,0.515,0.0,0.094,0.297,140.396,4,P Money,04:14,Friday,September,2011
Ed Sheeran,Faces,0Yp1IPKGLmNoSCNZRJY0Af,The Slumdon Bridge,3j70EKOaR5iVk0BPW6lowR,2011-09-09,0 days 00:03:17.130000,17,True,0.516,0.852,C#/Db,-7.455,Major,0.267,0.00889,4.34e-06,0.34,0.2,140.233,4,Yelawolf,03:17,Friday,September,2011
Ed Sheeran,"Nightmares (feat. Random Impulse, Sway & Wretch 32)",4MKPqVv3FqKCZTcKHfR125,No.5 Collaborations Project,6DpIyaMgt5p9HlGd1c0LDM,2011-09-09,0 days 00:04:03,29,False,0.855,0.678,A,-6.864,Major,0.052,0.101,0.00232,0.0964,0.429,120.012,4,"Random Impulse, Sway, Wretch 32",04:03,Friday,September,2011
Ed Sheeran,Goodbye to You (feat. Dot Rotten),1SdyQYIFM05qkexCFKZxW1,No.5 Collaborations Project,6DpIyaMgt5p9HlGd1c0LDM,2011-09-09,0 days 00:05:30.200000,28,False,0.64,0.664,C#/Db,-7.812,Major,0.152,0.267,0.0,0.329,0.275,140.007,4,Zeph Ellis,05:30,Friday,September,2011
Ed Sheeran,Perfect - Instrumental,6ci1COpgwK4IHZMqCZcehj,Teclas Pretas Também Fazem Música,1elramoOJ90pDVBWXrBBwU,2020-04-27,0 days 00:04:24.331000,26,False,0.356,0.277,G#/Ab,-12.533,Major,0.0295,0.637,0.94,0.109,0.0925,94.886,3,Fernando Wilson,04:24,Monday,April,2020
Ed Sheeran,Bad Habits - Ovy On The Drums Remix,1ZW1QB1DH0qz4fvuQUVtUN,Bad Habits (The Remixes),2lPL5twEa5Dv26imdJLVgQ,2021-08-06,0 days 00:03:30.413000,26,False,0.795,0.845,B,-3.514,Minor,0.0682,0.257,0.0125,0.352,0.482,109.034,4,Ovy On The Drums,03:30,Friday,August,2021
